t+0.01585 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+0.01599 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+0.01606 | TX id: 0xd040004; 00,30,30,30,
t+0.01612 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+0.01618 | TX id: 0xd000004; 00,00,00,
t+0.01624 | TX id: 0xdca0004; 07,46,
t+0.01629 | TX id: 0xd210004; 01,01,10,
t+3.01738 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+3.01747 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+3.01750 | TX id: 0xd040004; 00,30,30,30,
t+3.01752 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+3.01754 | TX id: 0xd000004; 00,00,00,
t+3.01756 | TX id: 0xdca0004; 07,46,
t+3.01757 | TX id: 0xd210004; 01,01,10,
t+4.48377 | RX id: 0xdc90001; 46,
t+6.01840 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+6.01864 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+6.01868 | TX id: 0xd040004; 00,30,30,30,
t+6.01871 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+6.01873 | TX id: 0xd000004; 00,00,00,
t+6.01875 | TX id: 0xdca0004; 07,46,
t+6.01876 | TX id: 0xd210004; 01,01,10,
t+9.01974 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+9.01983 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+9.01985 | TX id: 0xd040004; 00,30,30,30,
t+9.01987 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+9.01989 | TX id: 0xd000004; 00,00,00,
t+9.01991 | TX id: 0xdca0004; 07,46,
t+9.01993 | TX id: 0xd210004; 01,01,10,
t+9.72455 | TX id: 0xd220004; 01,01,00,
t+12.03105 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+12.05177 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+12.07251 | TX id: 0xd040004; 00,30,30,30,
t+12.09324 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+12.11387 | TX id: 0xd000004; 00,00,00,
t+12.13995 | TX id: 0xdca0004; 07,46,
t+12.16048 | TX id: 0xd210004; 01,01,10,
t+13.10585 | RX id: 0xd000001; 01,00,97,
t+13.12641 | RX id: 0xd010001; 50,65,74,72,65,6c,20,33,
t+14.46205 | RX id: 0xdc90001; 46,
t+14.48278 | RX id: 0xd080001; 04,05,04,08,01,
t+15.19209 | TX id: 0xd010004; 43,2d,69,6e,61,74,6f,72,
t+15.21313 | TX id: 0xdcb0004; 50,00,00,00,00,46,63,00,
t+15.23369 | TX id: 0xd040004; 00,30,30,30,
t+15.25447 | TX id: 0xd110004; 04,70,04,38,04,6f,00,
t+15.27509 | TX id: 0xd000004; 00,00,00,
t+15.29559 | TX id: 0xdca0004; 07,46,
t+15.31626 | TX id: 0xd210004; 01,01,10,
t+18.09055 | RX id: 0xd000001; 01,00,97,
